fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
13,US,GA,,state,,iso1:us#iso2:us-ga,,10617423,0.174,other,82.7,0.04,1.11,0.1,0.95,1535,actual,1094,actual,0.97,5,2,5,2,2,3,3,1390154,22263,1044740,9064700,1570,29899,20964,6570,0.68,2712,2629,1535,0.815056720523,8150,13447665,5482095,4445340,2021-09-03,https://covidactnow.org/us/georgia-ga,0.516,0.419,131,9883793,3
15,US,HI,,state,,iso1:us#iso2:us-hi,,1415872,0.082,other,64.3,0.07,1.09,0.1,0.78,98,actual,104,actual,0.88,3,1,3,2,1,3,3,62860,603,68921,2026607,300,3064,2016,461,0.66,230,202,98,0.69,1060,2146860,1051227,784039,2021-09-03,https://covidactnow.org/us/hawaii-hi,0.742,0.554,4,1787222,3
19,US,IA,,state,,iso1:us#iso2:us-ia,,3155070,0.148,other,37.6,0.07,1.2,0.1,0.51,140,actual,368,actual,0.79,3,2,3,2,2,1,1,408390,6307,411067,3547676,403,13582,5472,611,0.5,641,508,140,0.56,3643,3944165,1780312,1637139,2021-09-03,https://covidactnow.org/us/iowa-ia,0.564,0.519,0,3315438,3
16,US,ID,,state,,iso1:us#iso2:us-id,,1787065,0.187,other,56.7,0.05,1.19,0.1,0.79,167,actual,113,actual,0.86,3,2,3,2,2,3,3,224227,2380,270341,1631851,250,3796,2511,518,0.54,325,280,167,0.53,1596,2039480,793690,703071,2021-09-03,https://covidactnow.org/us/idaho-id,0.444,0.393,8,1466935,3
17,US,IL,,state,,iso1:us#iso2:us-il,,12671821,0.052,other,33.1,0.18,1.1,0.1,0.36,529,actual,1807,actual,0.71,3,1,3,1,1,0,1,1536988,26572,1487323,22305896,3800,38143,22917,2303,0.58,3282,2336,529,0.615201900238,4494,16954285,8386746,6512907,2021-09-03,https://covidactnow.org/us/illinois-il,0.662,0.514,37,14698120,3
18,US,IN,,state,,iso1:us#iso2:us-in,,6732219,0.137,other,62.8,0.08,1.18,0.1,0.58,600,actual,1095,actual,0.8,3,2,3,2,2,1,1,871427,14545,933611,8704362,1600,18472,13276,2353,0.57,2132,1695,600,0.653419593346,5151,7724340,3390170,3128226,2021-09-03,https://covidactnow.org/us/indiana-in,0.504,0.465,25,6447041,3
20,US,KS,,state,,iso1:us#iso2:us-ks,,2913314,0.116,other,52.7,0.05,1.09,0.1,0.56,225,actual,442,actual,0.79,3,2,3,2,1,1,1,374426,5613,347101,3226324,359,12492,5587,786,0.51,845,667,225,0.633136094675,112,3600765,1677461,1413349,2021-09-03,https://covidactnow.org/us/kansas-ks,0.576,0.485,3,2928561,3
21,US,KY,,state,,iso1:us#iso2:us-ky,,4467673,0.145,other,96.5,0.06,1.15,0.1,0.85,628,actual,715,actual,0.92,5,2,5,2,2,3,3,589256,7884,594310,4845072,1240,19775,9409,2490,0.59,1455,1343,628,0.66,5132,5260065,2564462,2180536,2021-09-03,https://covidactnow.org/us/kentucky-ky,0.574,0.488,42,4585627,3
22,US,LA,,state,,iso1:us#iso2:us-la,,4648794,0.12,other,91.8,0.04,0.96,0.1,0.8,764,actual,818,actual,0.89,5,2,5,2,1,3,3,679796,12656,662668,7169326,800,20906,10203,2055,0.55,1773,1582,764,0.668632075472,3428,5393570,2305062,1934964,2021-09-03,https://covidactnow.org/us/louisiana-la,0.496,0.416,74,4209058,3
25,US,MA,,state,,iso1:us#iso2:us-ma,,6892503,0.027,other,23.9,0.29,1.12,0.1,0.34,159,actual,879,actual,0.77,2,0,2,1,2,0,1,763673,18272,845778,25012815,2350,24379,16247,517,0.72,1340,1038,159,0.5,1767,10527670,5203995,4558121,2021-09-03,https://covidactnow.org/us/massachusetts-ma,0.755,0.661,15,9498168,3
